CIMS.CAN.BC.Light Industrial.Water Heating,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.BC.Natural Gas Production,Sector,BC,,Natural Gas Production,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Petroleum Crude,Sector,BC,,Petroleum Crude,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Coal Mining,Sector,BC,,Coal Mining,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Mining,Sector,BC,,Mining,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Price multiplier,,,CIMS.CAN.BC.Electricity,JCIMS,,1,1,1,1,1,1,1,1,1,1,1,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Price multiplier,,,CIMS.CAN.BC.Electricity,Petroleum Refining,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,Use petroleum refining sector as proxy
CIMS.CAN.BC.Petroleum Refining,Sector,BC,,Petroleum Refining,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Industrial Minerals,Sector,BC,,Industrial Minerals,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Metal Smelting,Sector,BC,,Metal Smelting,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Chemical Products,Sector,BC,,Chemical Products,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Pulp and Paper,Sector,BC,,Pulp and Paper,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Light Industrial,Sector,BC,,Light Industrial,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Residential,Sector,BC,,Residential,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,22.3497140027452,22.3497140027452,27.264522783433,31.9960605350365,35.9830059327199,36.8243822666092,37.9167091407754,38.222253890479,39.0986274297868,40.9729675334518,42.697852633014,
CIMS.CAN.BC.Commercial,Sector,BC,,Commercial,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,19.1357834383507,19.1357834383507,21.3693159026882,26.9736493480859,26.5312465995409,27.3200710656193,28.349834357258,28.6498462107857,29.5105775682994,31.2932865525721,32.9368136375659,
CIMS.CAN.BC.Transportation Personal,Sector,BC,,Transportation Personal,,Price multiplier,,,CIMS.CAN.BC.Electricity,Residential,,22.3497140027452,22.3497140027452,27.264522783433,31.9960605350365,35.9830059327199,36.8243822666092,37.9167091407754,38.222253890479,39.0986274297868,40.9729675334518,42.697852633014,
CIMS.CAN.BC.Transportation Freight,Sector,BC,,Transportation Freight,,Price multiplier,,,CIMS.CAN.BC.Electricity,Commercial,,19.1357834383507,19.1357834383507,21.3693159026882,26.9736493480859,26.5312465995409,27.3200710656193,28.349834357258,28.6498462107857,29.5105775682994,31.2932865525721,32.9368136375659,
CIMS.CAN.BC.Waste,Sector,BC,,Waste,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Agriculture,Sector,BC,,Agriculture,,Price multiplier,,,CIMS.CAN.BC.Electricity,CER,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Construction,Sector,BC,,Construction,,Price multiplier,,,CIMS.CAN.BC.Electricity,Mining,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Forestry,Sector,BC,,Forestry,,Price multiplier,,,CIMS.CAN.BC.Electricity,Mining,,15.3318428733706,15.3318428733706,18.4932728738685,23.3870478455601,22.9661072561814,23.7491784341475,24.7740933340656,25.0782549341743,25.9510080855917,27.7326278270317,29.3765148537813,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,LCC_financial,,,,,$/GJ,1,1,1,1,1,1,1,1,1,1,1,Currently set to 1 so that price multipliers can replicate CER final user prices. Reset LCC and price multipliers after calibrating Elec sector.
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Electricity,Sector,BC,,Electricity,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,LCC_financial,,,,EA Energy Analyses (2015) & Brown et al. (2020),$/GJ,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,35.1881,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions_biomass,CO2,Combustion,,,tCO2,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,0.0742443721618,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Biodiesel,Sector,BC,,Biodiesel,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,LCC_financial,,,,,$/GJ,33,33,33,33,33,33,33,33,33,33,33,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions_biomass,CO2,Combustion,,,tCO2,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,0.07092631582869,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Ethanol,Sector,BC,,Ethanol,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Service provided,,,,,GJ,,,,,,,,,,,,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Competition type,Sector,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Is supply,TRUE,,,,,,,,,,,,,,,,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,LCC_financial,,,,,$/GJ,70.4225352112676,63.3802816901408,57.0422535211268,51.3380281690141,46.2042253521127,41.5838028169014,37.4254225352113,33.6828802816901,30.3145922535211,27.283133028169,24.5548197253521,Temporarily use $10.00-3.50/kg
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Emissions,CO2,Combustion,,"ECCC, NIR",tCO2,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Emissions,CH4,Combustion,,"ECCC, NIR",tCH4,0,0,0,0,0,0,0,0,0,0,0,
CIMS.CAN.BC.Hydrogen,Sector,BC,,Hydrogen,,Emissions,N2O,Combustion,,"ECCC, NIR",tN2O,0,0,0,0,0,0,0,0,0,0,0,
