CIMS.CAN.MB.Mining.Steam,<-- Navigate by typing to search,,,,,,,,,,,,,,,,,,,,,,
Branch,Type,Region,Sector,Service,Technology,Parameter,Context,Sub_Context,Target,Source,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,Comments
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,CO2,Combustion,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,CO2,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,CH4,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Natural Gas Production,Sector,MB,Natural Gas Production,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Petroleum Crude,Sector,MB,Petroleum Crude,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Mining,Sector,MB,Mining,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Food Tobacco and Beverage,Sector,MB,Food Tobacco and Beverage,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Light Industrial.Manufacturing.Transportation Equipment,Sector,MB,Transportation Equipment,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
CIMS.CAN.MB.Electricity,Sector,MB,Electricity,,,Tax,N2O,Process,,,$/tCO2e,,,,,,,None,None,None,None,None,
