LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,PPP,TOT,NATUSD,A,1960,0.953324,
CAN,PPP,TOT,NATUSD,A,1961,0.94867,
CAN,PPP,TOT,NATUSD,A,1962,0.941626,
CAN,PPP,TOT,NATUSD,A,1963,0.948107,
CAN,PPP,TOT,NATUSD,A,1964,0.957314,
CAN,PPP,TOT,NATUSD,A,1965,0.963874,
CAN,PPP,TOT,NATUSD,A,1966,0.977764,
CAN,PPP,TOT,NATUSD,A,1967,0.992304,
CAN,PPP,TOT,NATUSD,A,1968,0.980698,
CAN,PPP,TOT,NATUSD,A,1969,0.97448,
CAN,PPP,TOT,NATUSD,A,1970,0.936749,
CAN,PPP,TOT,NATUSD,A,1971,0.93598,
CAN,PPP,TOT,NATUSD,A,1972,0.94941,
CAN,PPP,TOT,NATUSD,A,1973,0.986757,
CAN,PPP,TOT,NATUSD,A,1974,1.042692,
CAN,PPP,TOT,NATUSD,A,1975,1.057832,
CAN,PPP,TOT,NATUSD,A,1976,1.095707,
CAN,PPP,TOT,NATUSD,A,1977,1.101754,
CAN,PPP,TOT,NATUSD,A,1978,1.099507,
CAN,PPP,TOT,NATUSD,A,1979,1.116939,
CAN,PPP,TOT,NATUSD,A,1980,1.125443,
CAN,PPP,TOT,NATUSD,A,1981,1.134059,
CAN,PPP,TOT,NATUSD,A,1982,1.162604,
CAN,PPP,TOT,NATUSD,A,1983,1.183495,
CAN,PPP,TOT,NATUSD,A,1984,1.182673,
CAN,PPP,TOT,NATUSD,A,1985,1.184693,
CAN,PPP,TOT,NATUSD,A,1986,1.197407,
CAN,PPP,TOT,NATUSD,A,1987,1.224491,
CAN,PPP,TOT,NATUSD,A,1988,1.236476,
CAN,PPP,TOT,NATUSD,A,1989,1.245778,
CAN,PPP,TOT,NATUSD,A,1990,1.241556,
CAN,PPP,TOT,NATUSD,A,1991,1.23759,
CAN,PPP,TOT,NATUSD,A,1992,1.227694,
CAN,PPP,TOT,NATUSD,A,1993,1.214689,
CAN,PPP,TOT,NATUSD,A,1994,1.206599,
CAN,PPP,TOT,NATUSD,A,1995,1.208429,
CAN,PPP,TOT,NATUSD,A,1996,1.20741,
CAN,PPP,TOT,NATUSD,A,1997,1.200565,
CAN,PPP,TOT,NATUSD,A,1998,1.185044,
CAN,PPP,TOT,NATUSD,A,1999,1.19081,
CAN,PPP,TOT,NATUSD,A,2000,1.227599,
CAN,PPP,TOT,NATUSD,A,2001,1.220464,
CAN,PPP,TOT,NATUSD,A,2002,1.229333,
CAN,PPP,TOT,NATUSD,A,2003,1.225714,
CAN,PPP,TOT,NATUSD,A,2004,1.232662,
CAN,PPP,TOT,NATUSD,A,2005,1.213644,
CAN,PPP,TOT,NATUSD,A,2006,1.205365,
CAN,PPP,TOT,NATUSD,A,2007,1.212099,
CAN,PPP,TOT,NATUSD,A,2008,1.23439,
CAN,PPP,TOT,NATUSD,A,2009,1.202244,
CAN,PPP,TOT,NATUSD,A,2010,1.22182,
CAN,PPP,TOT,NATUSD,A,2011,1.239904,
CAN,PPP,TOT,NATUSD,A,2012,1.244607,
CAN,PPP,TOT,NATUSD,A,2013,1.224,
CAN,PPP,TOT,NATUSD,A,2014,1.230358,
CAN,PPP,TOT,NATUSD,A,2015,1.248042,
CAN,PPP,TOT,NATUSD,A,2016,1.207045,
CAN,PPP,TOT,NATUSD,A,2017,1.212304,
CAN,PPP,TOT,NATUSD,A,2018,1.206524,
CAN,PPP,TOT,NATUSD,A,2019,1.246847,
CAN,PPP,TOT,NATUSD,A,2020,1.245722,
CAN,PPP,TOT,NATUSD,A,2021,1.253066,
